tag,subsystem,measurement_type
T2_S1,GAS PATH,TEMPERATURE SPREAD
T5_1,GAS PATH,TEMPERATURE
C_C_DP1,GAS PATH,DIFFERENTIAL PRESSURE 
C_C_T5_1,GAS PATH,TEMPERATURE
C_C_T5_2,GAS PATH,TEMPERATURE SPREAD
C_C_T5_3,GAS PATH,VECTOR MAGNITUDE
C_DP1,GAS PATH,DIFFERENTIAL PRESSURE 
C_PCT1,GAS PATH,PERCENT
T5_10,GAS PATH,TEMPERATURE
T5_11,GAS PATH,TEMPERATURE
T5_12,GAS PATH,TEMPERATURE
T5_2,GAS PATH,TEMPERATURE
T5_3,GAS PATH,TEMPERATURE
T5_4,GAS PATH,TEMPERATURE
T5_5,GAS PATH,TEMPERATURE
T5_6,GAS PATH,TEMPERATURE
T5_7,GAS PATH,TEMPERATURE
T5_8,GAS PATH,TEMPERATURE
T5_9,GAS PATH,TEMPERATURE
T5_S1,GAS PATH,TEMPERATURE SPREAD
T7_S1,GAS PATH,TEMPERATURE SPREAD
F_P2,FUEL,PRESSURE
F_C_DP1,FUEL,DIFFERENTIAL PRESSURE 
F_C_DP2,FUEL,DIFFERENTIAL PRESSURE 
F_C_DP3,FUEL,DIFFERENTIAL PRESSURE 
F_C_DP4,FUEL,DIFFERENTIAL PRESSURE 
F_C_DP5,FUEL,DIFFERENTIAL PRESSURE 
F_C_POS_E1,FUEL,ERROR (%)
F_CMD1,FUEL,COMMAND (%)
F_P1,FUEL,PRESSURE
F_P3,FUEL,PRESSURE
F_P4,FUEL,PRESSURE
F_P5,FUEL,PRESSURE
F_P6,FUEL,PRESSURE
F_POS1,FUEL,POSITION (%)
F_T1,FUEL,TEMPERATURE
LO_C_BRG1,LUBE OIL SYSTEM,TEMPERATURE
LO_C_BRG2,LUBE OIL SYSTEM,TEMPERATURE
LO_C_DT1,LUBE OIL SYSTEM,DIFFERENTIAL TEMPERATURE
LO_C_DT2,LUBE OIL SYSTEM,DIFFERENTIAL TEMPERATURE
LO_C_DT3,LUBE OIL SYSTEM,DIFFERENTIAL TEMPERATURE
LO_C_DT4,LUBE OIL SYSTEM,DIFFERENTIAL TEMPERATURE
LO_C_DT5,LUBE OIL SYSTEM,DIFFERENTIAL TEMPERATURE
LO_C_DT6,LUBE OIL SYSTEM,DIFFERENTIAL TEMPERATURE
LO_LVL1,LUBE OIL SYSTEM,LEVEL (LENGTH)
LO_P1,LUBE OIL SYSTEM,PRESSURE
LO_P2,LUBE OIL SYSTEM,PRESSURE
LO_T1,LUBE OIL SYSTEM,TEMPERATURE
LO_T2,LUBE OIL SYSTEM,TEMPERATURE
LO_T3,LUBE OIL SYSTEM,TEMPERATURE
LO_T4,LUBE OIL SYSTEM,TEMPERATURE
LO_T5,LUBE OIL SYSTEM,TEMPERATURE
LO_T6,LUBE OIL SYSTEM,TEMPERATURE
LO_T7,LUBE OIL SYSTEM,TEMPERATURE
LO_T8,LUBE OIL SYSTEM,TEMPERATURE
LO_T9,LUBE OIL SYSTEM,TEMPERATURE
P7,GAS PATH,PRESSURE
PE_C_POS_E1,GAS PATH,ERROR (%)
PE_C_POS_E2,GAS PATH,ERROR (%)
PE_C_POS_E3,GAS PATH,ERROR (%)
PE_CMD1,GAS PATH,COMMAND (%)
PE_CMD2,GAS PATH,COMMAND (%)
PE_CMD3,GAS PATH,COMMAND (%)
PE_DP1,PACKAGE EQUIPMENT,PRESSURE DIFFERENTIAL
PE_FOR1,GAS PATH,FORCE
PE_FOR2,GAS PATH,FORCE
PE_P1,PACKAGE EQUIPMENT,PRESSURE
PE_POS1,GAS PATH,POSITION
PE_POS2,GAS PATH,POSITION
PE_T1,GAS PATH,TEMPERATURE
T2_A,GAS PATH,TEMPERATURE
T5_A,GAS PATH,TEMPERATURE
PERF_C_PR2,GAS PATH,PRESSURE RATIO
PERF_C_PR1,GAS PATH,PRESSURE RRATIO
P5,GAS PATH,PRESSURE
PERF_C_P5,GAS PATH,PRESSURE
V_G_1A,VIBRATION,GAP VOLTAGE
V_G_1B,VIBRATION,GAP VOLTAGE
V_G_2A,VIBRATION,GAP VOLTAGE
V_G_2B,VIBRATION,GAP VOLTAGE
V_G_3A,VIBRATION,GAP VOLTAGE
V_G_3B,VIBRATION,GAP VOLTAGE
V_G_4A,VIBRATION,GAP VOLTAGE
V_G_4B,VIBRATION,GAP VOLTAGE
V_G_5A,VIBRATION,GAP VOLTAGE
V_G_6B,VIBRATION,GAP VOLTAGE
V_G_7,VIBRATION,GAP VOLTAGE
C_DT5_7,GAS PATH,TEMPERATURE DIFFERENTIAL
C_DT5_8,GAS PATH,TEMPERATURE DIFFERENTIAL
C_DT5_9,GAS PATH,TEMPERATURE DIFFERENTIAL
F_P7,FUEL,PRESSURE
C_DT5_1,GAS PATH,TEMPERATURE DIFFERENTIAL
T2_1,GAS PATH,TEMPERATURE
C_DT5_10,GAS PATH,TEMPERATURE DIFFERENTIAL
C_DT5_11,GAS PATH,TEMPERATURE DIFFERENTIAL
C_DT5_12,GAS PATH,TEMPERATURE DIFFERENTIAL
C_DT5_2,GAS PATH,TEMPERATURE DIFFERENTIAL
C_DT5_3,GAS PATH,TEMPERATURE DIFFERENTIAL
C_DT5_4,GAS PATH,TEMPERATURE DIFFERENTIAL
C_DT5_5,GAS PATH,TEMPERATURE DIFFERENTIAL
C_DT5_6,GAS PATH,TEMPERATURE DIFFERENTIAL
C_DT7_1,GAS PATH,TEMPERATURE DIFFERENTIAL
C_DT7_2,GAS PATH,TEMPERATURE DIFFERENTIAL
C_DT7_3,GAS PATH,TEMPERATURE DIFFERENTIAL
C_DT7_4,GAS PATH,TEMPERATURE DIFFERENTIAL
NT5,GAS PATH,COUNT
P1,GAS PATH,PRESSURE
SC_C_PCT_E1,GAS PATH,ERROR (%)
SC_DP1,GAS PATH,PRESSURE DIFFERENTIAL
SC_PCT1,GAS PATH,PERCENT
SC_PCT2,GAS PATH,PERCENT
T1_1,GAS PATH,TEMPERATURE
T1_2,GAS PATH,TEMPERATURE
T1_3,GAS PATH,TEMPERATURE
T2_2,GAS PATH,TEMPERATURE
T2_3,GAS PATH,TEMPERATURE
T7_1,GAS PATH,TEMPERATURE
T7_2,GAS PATH,TEMPERATURE
T7_3,GAS PATH,TEMPERATURE
T7_4,GAS PATH,TEMPERATURE
T7_5,GAS PATH,TEMPERATURE
T7_6,GAS PATH,TEMPERATURE
T7_7,GAS PATH,TEMPERATURE
T7_8,GAS PATH,TEMPERATURE
T7_9,GAS PATH,TEMPERATURE (AVERAGE)
NGP,GAS PATH,PERCENT (SPEED)
NPT,GAS PATH,PERCENT (SPEED)
PCD,GAS PATH,PRESSURE
SUM_ENG_H,SUMMARY,COUNT
SUM_ENG_ST,SUMMARY,COUNT
SUM_ESN,SUMMARY,STR/INT
TIMESTAMP,SUMMARY,DATETIME
V_D_1A,VIBRATION,DISPLACEMENT
V_D_1B,VIBRATION,DISPLACEMENT
V_D_2A,VIBRATION,DISPLACEMENT
V_D_2B,VIBRATION,DISPLACEMENT
V_D_3A,VIBRATION,DISPLACEMENT
V_D_3B,VIBRATION,DISPLACEMENT
V_D_4A,VIBRATION,DISPLACEMENT
V_D_4B,VIBRATION,DISPLACEMENT
V_D_5A,VIBRATION,DISPLACEMENT
V_D_5B,VIBRATION,DISPLACEMENT
V_D_6,VIBRATION,DISPLACEMENT
V_D_7,VIBRATION,DISPLACEMENT
